cencus-location,eviction-location,number_filing_2020,number_filing_2021,number_filing_2022,number_filing_after_moratorium,number_RENTER_households_LATEST_from_eviction_website,filing_rate_after_mora,number_renter_household,filing_rate_2020,unemployment-rate,pop_over60,Total households,Average household size,Households with own children of the householder under 18 years,Households with one or more people under 18 years,Households with one or more people 60 years and over,Householder living alone,65 years and over,Owner-occupied housing units,Renter-occupied housing units
"South Bend city, Indiana","South Bend, IN",1324,1873,2082,2597,32420,0.08010487353,16836.616,0.07863813013,6.0%,0.1914769297,"39,709",2.50,"10,993",30.1%,36.2%,36.8%,14.4%,57.6%,42.4%
"New Orleans city, Louisiana","New Orleans, LA",3070,3110,4441,5520,79579,0.06936503349,77722.652,0.03949942418,8.5%,0.2143954362,"154,826",2.43,"27,639",21.3%,38.1%,46.5%,13.8%,49.8%,50.2%
"Boston city, Massachusetts","Boston, MA",2705,3371,3571,4031,292933,0.01376082585,176752.636,0.0153038736,6.9%,0.1652179085,"273,188",2.35,"51,313",21.4%,30.1%,36.0%,10.1%,35.3%,64.7%
"Minneapolis city, Minnesota","Minneapolis-Saint Paul, MN",1860,2222,8354,8642,275972,0.03131477106,94094.036,0.01976745901,5.2%,0.1477165659,"178,886",2.28,"37,481",22.7%,25.2%,40.3%,8.9%,47.4%,52.6%
"Kansas City city, Missouri","Kansas City, MO",4453,5052,6161,7455,119674,0.06229423267,95308.29,0.04672206374,4.9%,0.1925734692,"206,295",2.34,"49,748",26.8%,33.0%,37.1%,10.4%,53.8%,46.2%
"St. Louis city, Missouri","St Louis, MO",7386,8525,10444,12402,207619,0.05973441737,80253.394,0.09203349082,5.8%,0.2049496405,"143,566",2.05,"27,034",22.2%,32.9%,45.4%,11.2%,44.1%,55.9%
"Las Vegas city, Nevada","Las Vegas, NV",20249,38056,36953,52838,362272,0.1458517357,110585.528,0.1831071422,6.9%,0.2061964585,"237,308",2.68,"64,866",31.0%,37.9%,30.0%,10.0%,53.4%,46.6%
"Albuquerque city, New Mexico","Albuquerque, NM",5627,5330,5523,6595,99091,0.06655498481,91191.297,0.06170544981,5.6%,0.216195287,"229,701",2.42,"55,576",27.1%,37.6%,35.9%,12.5%,60.3%,39.7%
"New York city, New York","New York, NY",75110,42192,75696,81321,2132397,0.03813595686,2144816.352,0.03501931526,6.6%,0.205965665,"3,191,691",2.57,"779,648",28.4%,38.9%,32.1%,11.8%,32.8%,67.2%
"Cincinnati city, Ohio","Cincinnati, OH",7888,9915,9714,12029,143889,0.08359916324,84743.256,0.09308115327,7.3%,0.1807775028,"138,696",2.09,"29,511",23.6%,29.7%,44.6%,10.8%,38.9%,61.1%
"Cleveland city, Ohio","Cleveland, OH",4395,4310,1195,2801,99850,0.02805207812,101628.52,0.04324573456,12.4%,0.2096099715,"174,920",2.12,"37,278",25.2%,36.3%,45.0%,13.7%,41.9%,58.1%
"Columbus city, Ohio","Columbus, OH",12120,15435,15827,19185,238402,0.08047331818,199806.926,0.06065855795,5.4%,0.1547140355,"362,626",2.39,"90,390",27.8%,27.5%,36.0%,8.6%,44.9%,55.1%
"Philadelphia city, Pennsylvania","Philadelphia, PA",7690,6800,10770,12013,282465,0.04252916291,289395,0.02657267748,8.8%,0.1952557364,"613,125",2.50,"138,508",27.0%,36.5%,37.2%,12.1%,52.8%,47.2%
"Pittsburgh city, Pennsylvania","Pittsburgh, PA",5178,5788,8458,9543,193411,0.04934052355,74884.368,0.06914660747,5.4%,0.2091169188,"140,496",1.98,"21,753",17.5%,33.4%,44.2%,13.2%,46.7%,53.3%
"Charleston city, South Carolina","Charleston, SC",6950,5635,7226,8409,61209,0.1373817576,25522.796,0.2723055891,3.4%,0.2131187017,"57,226",2.29,"11,158",20.8%,34.8%,35.8%,11.1%,55.4%,44.6%
"Memphis city, Tennessee","Memphis, TN",16217,16058,18022,22997,157847,0.1456917141,137596.728,0.1178589072,8.6%,0.1946613203,"255,756",2.49,"61,419",28.7%,35.8%,37.9%,11.5%,46.2%,53.8%
"Austin city, Texas","Austin, TX",3396,1750,7356,7341,225010,0.03262521666,215427.6,0.01576399681,4.4%,0.1398228751,"395,280",2.39,"95,570",26.4%,24.2%,33.9%,6.4%,45.5%,54.5%
"Dallas city, Texas","Dallas, TX",21198,23478,33221,39373,464121,0.08483348092,307880.326,0.06885142768,4.9%,0.1556863149,"524,498",2.52,"137,523",29.9%,28.4%,35.5%,8.0%,41.3%,58.7%
"Fort Worth city, Texas","Fort Worth, TX",19505,21672,31935,36707,381009,0.09634155624,132116.64,0.1476346961,5.7%,0.1453014444,"307,248",2.85,"104,415",38.2%,29.0%,26.3%,7.4%,57.0%,43.0%
"Houston city, Texas","Houston, TX",34630,38193,63277,72588,768357,0.09447171042,499526.217,0.06932569067,6.2%,0.1589261459,"874,827",2.61,"248,361",32.1%,30.2%,32.7%,8.5%,42.9%,57.1%
"Richmond city, Virginia","Richmond, VA",8458,4538,8902,8723,82080,0.1062743665,51235.815,0.1650798372,6.3%,0.1931571807,"91,005",2.40,"15,382",19.8%,34.4%,43.1%,12.8%,43.7%,56.3%
"Milwaukee city, Wisconsin","Milwaukee, WI",8990,8086,10556,12795,193121,0.06625379943,135931.611,0.06613619844,6.3%,0.155819043,"229,227",2.51,"62,084",30.4%,29.8%,37.4%,10.0%,40.7%,59.3%
